	h(8)0	h(8)1	h(8)2	h(8)3	h(8)4	h(8)5	h(8)6	h(8)7	h(8)8	h(8)9	h(8)10	h(8)11	h(8)12	h(8)13	
c(8)0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
c(8)1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	
c(8)11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
c(8)12	1	4	0	0	0	0	0	0	0	0	0	0	0	0	
c(8)18	1	0	0	0	2	0	0	0	0	0	0	0	0	0	
c(8)24	2	0	0	1	0	1	0	2	0	0	0	0	0	0	
c(8)28	1	0	0	0	0	1	0	0	0	0	0	0	0	0	
c(8)30	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
c(8)31	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
c(8)32	0	0	2	0	0	1	0	0	0	2	0	0	0	0	
c(8)2	0	0	2	1	0	0	0	0	1	0	0	2	0	0	
c(8)8	0	0	0	1	2	0	0	0	0	0	0	0	0	0	
c(8)16	0	0	0	1	0	1	2	0	0	0	0	0	0	0	
c(8)21	0	0	0	1	0	0	0	0	0	2	0	0	0	0	
c(8)25	0	0	0	1	0	0	1	0	0	0	2	0	2	0	
c(8)3	0	0	0	1	0	0	0	0	0	0	0	4	2	0	
c(8)6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
c(8)13	0	0	0	0	4	1	0	0	0	0	0	0	0	0	
c(8)15	0	0	0	0	0	1	0	2	0	0	0	0	0	0	
c(8)17	0	0	0	0	0	1	2	0	0	0	2	0	0	0	
c(8)19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
c(8)20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
c(8)23	0	0	0	0	0	0	2	0	2	0	0	0	0	2	
c(8)26	0	0	0	0	0	0	0	4	0	0	1	0	0	0	
c(8)27	0	0	0	0	0	0	0	0	2	1	0	0	0	0	
c(8)29	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
c(8)4	0	0	0	0	0	0	0	0	2	0	0	0	2	0	
c(8)5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
c(8)7	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
c(8)9	0	0	0	0	0	0	0	0	0	0	1	0	0	4	
c(8)10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
c(8)14	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
c(8)22	0	0	0	0	0	0	0	0	0	0	0	0	2	2	
